AnalyticsAccount	status.observedState.accountTicketID
NetworkConnectivityServiceConnectionPolicy	status.observedState.pscConnections[].consumerTargetProject
NetworkConnectivityServiceConnectionPolicy	status.observedState.pscConnections[].error
NetworkConnectivityServiceConnectionPolicy	status.observedState.pscConnections[].error.code
NetworkConnectivityServiceConnectionPolicy	status.observedState.pscConnections[].error.message
NetworkConnectivityServiceConnectionPolicy	status.observedState.pscConnections[].errorInfo
NetworkConnectivityServiceConnectionPolicy	status.observedState.pscConnections[].errorInfo.domain
NetworkConnectivityServiceConnectionPolicy	status.observedState.pscConnections[].errorInfo.metadata
NetworkConnectivityServiceConnectionPolicy	status.observedState.pscConnections[].errorInfo.reason
NetworkConnectivityServiceConnectionPolicy	status.observedState.pscConnections[].errorType
NetworkConnectivityServiceConnectionPolicy	status.observedState.pscConnections[].gceOperation
NetworkConnectivityServiceConnectionPolicy	status.observedState.pscConnections[].producerInstanceID
NetworkConnectivityServiceConnectionPolicy	status.observedState.pscConnections[].pscConnectionID
NetworkConnectivityServiceConnectionPolicy	status.observedState.pscConnections[].selectedSubnetwork
NetworkConnectivityServiceConnectionPolicy	status.observedState.pscConnections[].state
NetworkConnectivityServiceConnectionPolicy	status.observedState.updateTime
ParameterManagerParameter	status.observedState.name
RunWorkerPool	status.observedState.customAudiences
RunWorkerPool	status.observedState.customAudiences[]
RunWorkerPool	status.observedState.observedConditions
RunWorkerPool	status.observedState.observedConditions[]
RunWorkerPool	status.observedState.observedConditions[].executionReason
RunWorkerPool	status.observedState.observedConditions[].lastTransitionTime
RunWorkerPool	status.observedState.observedConditions[].message
RunWorkerPool	status.observedState.observedConditions[].reason
RunWorkerPool	status.observedState.observedConditions[].revisionReason
RunWorkerPool	status.observedState.observedConditions[].severity
RunWorkerPool	status.observedState.observedConditions[].state
RunWorkerPool	status.observedState.observedConditions[].type
RunWorkerPool	status.observedState.template.revision
SQLAdminBackup	status.observedState.diskEncryptionStatus
SQLAdminBackup	status.observedState.diskEncryptionStatus.kind
SQLAdminBackup	status.observedState.diskEncryptionStatus.kmsKeyVersionName
SQLAdminBackup	status.observedState.endTime
SQLAdminBackup	status.observedState.enqueuedTime
SQLAdminBackup	status.observedState.error
SQLAdminBackup	status.observedState.error.code
SQLAdminBackup	status.observedState.error.kind
SQLAdminBackup	status.observedState.error.message
SQLAdminBackup	status.observedState.id
SQLAdminBackup	status.observedState.startTime
SQLAdminBackup	status.observedState.status
SQLAdminBackup	status.observedState.timeZone
SQLAdminBackup	status.observedState.type
SQLAdminBackup	status.observedState.windowStartTime
TPUVirtualMachine	status.observedState.health
TasksQueue	status.observedState.purgeTime
TasksQueue	status.observedState.state
VertexAICustomJob	status.observedState.name
VertexAICustomJob	status.observedState.webAccessURIs
VertexAIDataLabelingJob	status.observedState.name
VertexAIExtension	status.observedState.etag
VertexAIFeatureOnlineStore	status.observedState.etag
VertexAIMetadataStore	status.observedState.name
VertexAIPipelineJob	status.observedState.name
VertexAISchedule	status.observedState.name
VertexAIStudy	status.observedState.name
VertexAITensorboardExperiment	status.observedState.name
VertexAITrainingPipeline	status.observedState.name
VertexAITrainingPipeline	status.observedState.trainingTaskMetadata.boolValue
VertexAITrainingPipeline	status.observedState.trainingTaskMetadata.nullValue
VertexAITrainingPipeline	status.observedState.trainingTaskMetadata.numberValue
VertexAITrainingPipeline	status.observedState.trainingTaskMetadata.stringValue
VertexAITrainingPipeline	status.observedState.trainingTaskMetadata.structValue
VertexAITuningJob	status.observedState.name
WorkflowsWorkflow	status.observedState.revisionId
