kind=VertexAIExampleStore group=vertexai: scaffold emitted Location as value, original declares pointer
kind=VertexAIExtension group=aiplatform: scaffold emitted Location as value, original declares pointer
kind=VertexAIFeatureGroup group=vertexai: scaffold emitted Location as value, original declares pointer
kind=VertexAIFeatureOnlineStore group=aiplatform: scaffold emitted Location as value, original declares pointer
kind=VertexAISchedule group=aiplatform: scaffold emitted Location as value, original declares pointer
kind=VertexAISpecialistPool group=aiplatform: scaffold emitted Location as value, original declares pointer
kind=VertexAIStudy group=aiplatform: scaffold emitted Location as value, original declares pointer
kind=VertexAITensorboard group=vertexai: scaffold emitted Location as value, original declares absent
kind=VertexAITensorboardExperiment group=vertexai: scaffold emitted Location as value, original declares pointer
kind=VertexAITrainingPipeline group=aiplatform: scaffold emitted Location as value, original declares pointer
kind=VertexAITuningJob group=aiplatform: scaffold emitted Location as value, original declares pointer
kind=VisionAIApplication group=visionai: scaffold emitted Location as value, original declares pointer
kind=VisionProduct group=vision: scaffold emitted Location as value, original declares pointer
kind=WorkloadManagerEvaluation group=workloadmanager: scaffold emitted Location as value, original declares pointer
